"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"AGNALDO MUNIZ" "NOVA BRASILÂNDIA DO OESTE" 682 11173 "SUPLENTE" "DEPUTADO FEDERAL" 6.1 "TOTAL:60,07%"
"LAERTE GOMES" "URUPÁ" 448 7345 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.1 "TOTAL:62,24%"
"ANSELMO DE JESUS" "CASTANHEIRAS" 142 2306 "NÃO ELEITO" "DEPUTADO FEDERAL" 6.16 "TOTAL:62,49%"
"DELEGADO THIAGO FLORES" "CACAULÂNDIA" 203 3297 "SUPLENTE" "DEPUTADO FEDERAL" 6.16 "TOTAL:36,3%"
"GERALDO DA RONDONIA" "CACAULÂNDIA" 203 3297 "SUPLENTE" "DEPUTADO ESTADUAL" 6.16 "TOTAL:60,94%"
"ANSELMO DE JESUS" "CACAULÂNDIA" 204 3297 "NÃO ELEITO" "DEPUTADO FEDERAL" 6.19 "TOTAL:36,3%"
"BRITO" "PIMENTA BUENO" 1207 19506 "SUPLENTE" "DEPUTADO ESTADUAL" 6.19 "TOTAL:70,22%"
"CLEITON ROQUE" "PARECIS" 158 2554 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.19 "TOTAL:58,04%"
"DR. DERALDO" "OURO PRETO DO OESTE" 1361 21953 "SUPLENTE" "DEPUTADO ESTADUAL" 6.2 "TOTAL:67,95%"
"NILTON CAPIXABA" "CAMPO NOVO DE RONDÔNIA" 389 6273 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.2 "TOTAL:58,12%"
"LUCIO MOSQUINI" "CABIXI" 238 3817 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.24 "TOTAL:48,61%"
"LUCIO MOSQUINI" "MACHADINHO DO OESTE" 1087 17362 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.26 "TOTAL:62,69%"
"AECIO" "MINISTRO ANDREAZZA" 357 5693 "SUPLENTE" "DEPUTADO FEDERAL" 6.27 "TOTAL:53,75%"
"NILTON CAPIXABA" "CHUPINGUAIA" 243 3867 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.28 "TOTAL:61,54%"
"SAULO MOREIRA" "CACAULÂNDIA" 207 3297 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.28 "TOTAL:60,94%"
"EDSON MARTINS" "CASTANHEIRAS" 145 2306 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.29 "TOTAL:36,03%"
